title,view_count,url,Published
2023년 정기 정보통신산업기사 4회 필기 가답안,5644,https://www.comcbt.com/xe/anne,
바리스타 2급 필기 기출문제 및 CBT 2012년 11월 10일(22회),145428,https://www.comcbt.com/xe/b2,Y
대기환경기사 필기 기출문제 및 CBT 2022년 04월 24일(2회),69368,https://www.comcbt.com/xe/b4,Y
산림기사 필기 기출문제 및 CBT 2022년 04월 24일(2회),46308,https://www.comcbt.com/xe/b5,Y
공유압기능사 필기 기출문제 및 CBT 2016년 07월 10일(4회),19520,https://www.comcbt.com/xe/b6,Y
항공산업기사 필기 기출문제 및 CBT 2020년 08월 22일(3회),29319,https://www.comcbt.com/xe/b7,Y
무선설비기사 필기 기출문제 및 CBT 2023년 10월 07일(4회),11040,https://www.comcbt.com/xe/b8,Y
조경기사 필기 기출문제 및 CBT 2022년 03월 05일(1회),48000,https://www.comcbt.com/xe/b9,Y
무선설비산업기사 필기 기출문제 및 CBT 2023년 03월 21일(1회),4260,https://www.comcbt.com/xe/bb,
산림산업기사 필기 기출문제 및 CBT 2020년 08월 22일(3회),19818,https://www.comcbt.com/xe/bc,Y
설비보전산업기사 필기 기출문제 및 CBT 2020년 08월 22일(3회),36453,https://www.comcbt.com/xe/bd,Y
기계설계산업기사 필기 기출문제 및 CBT 2020년 08월 22일(3회),43605,https://www.comcbt.com/xe/be,Y
전자기사 필기 기출문제 및 CBT 2022년 04월 24일(2회),20570,https://www.comcbt.com/xe/bf,
승강기기사 필기 기출문제 및 CBT 2022년 04월 24일(2회),19188,https://www.comcbt.com/xe/bg,Y
화공기사 필기 기출문제 및 CBT 2021년 08월 14일(3회),14799,https://www.comcbt.com/xe/bi,
건설안전산업기사 필기 기출문제 및 CBT 2020년 08월 22일(3회),77086,https://www.comcbt.com/xe/bj,Y
임상심리사 2급 필기 기출문제 및 CBT 2022년 03월 05일(1회),65342,https://www.comcbt.com/xe/bk,Y
방송통신산업기사 필기 기출문제 및 CBT 2022년 10월 08일(4회),1052,https://www.comcbt.com/xe/bn,
컴퓨터응용가공산업기사 필기 기출문제 및 CBT 2020년 08월 22일(3회),16756,https://www.comcbt.com/xe/bo,
